"mode","peel","Year","ssb","recruit_male"
"standard",0,1982,212.88180555,2575389.07982725
"standard",0,1983,276.42869484,2454627.83626576
"standard",0,1984,320.5231692,4218902.60688807
"standard",0,1985,335.75559382,4441276.74762719
"standard",0,1986,352.15561268,159187.56413178
"standard",0,1987,385.14859108,1505231.27614801
"standard",0,1988,446.07912913,620526.88135779
"standard",0,1989,507.16066165,741877.33255757
"standard",0,1990,454.84375036,4015745.63479377
"standard",0,1991,408.69575463,4395407.1834702
"standard",0,1992,322.31995705,188329.23661623
"standard",0,1993,292.84828383,425586.70242734
"standard",0,1994,372.55425531,287832.66765604
"standard",0,1995,339.84323399,202933.36411849
"standard",0,1996,353.71943057,473635.79985334
"standard",0,1997,330.46115871,392931.64856182
"standard",0,1998,234.79313815,650450.72110336
"standard",0,1999,200.43902012,331809.40925561
"standard",0,2000,165.30581597,54674.60775275
"standard",0,2001,137.88434025,1673808.93505861
"standard",0,2002,118.78330583,1181922.10348034
"standard",0,2003,113.8273603,1250056.96028639
"standard",0,2004,107.79014645,1928644.14801362
"standard",0,2005,124.18173659,330466.83760315
"standard",0,2006,156.03815479,397875.63365499
"standard",0,2007,177.28133286,944600.48202176
"standard",0,2008,198.62337203,1486109.68986129
"standard",0,2009,220.11791263,160251.4628721
"standard",0,2010,206.89811469,442292.28652466
"standard",0,2011,192.58087208,181857.39670256
"standard",0,2012,169.9084857,657596.87230819
"standard",0,2013,156.09461092,510110.98812581
"standard",0,2014,129.78653345,4758834.16029824
"standard",0,2015,112.18887952,1993568.89183548
"standard",0,2016,101.54958898,266462.81298303
"standard",0,2017,129.49107216,60447.56971635
"standard",0,2018,163.80215247,87528.78524412
"standard",0,2019,171.26752064,64510.11231901
"standard",0,2020,114.3828881,1654301.69894893
"standard",0,2021,94.58519613,2355635.14472586
"standard",0,2022,81.97423588,4279609.60119369
"standard",0,2023,71.00980145,1487761.36085952
"standard",0,2024,91.38156296,927671.37359676
"standard",0,2025,141.53436876,1006502.97729507
"standard",1,1982,207.15002531,2241706.9237339
"standard",1,1983,277.76197834,2098298.34743206
"standard",1,1984,324.21961236,3692938.70870003
"standard",1,1985,337.47814983,3536128.75365019
"standard",1,1986,349.63080988,140618.83553101
"standard",1,1987,378.05539932,1282480.06947867
