"mode","peel","Year","ssb","recruit_male"
"standard",0,1982,208.12460876,820293.919238
"standard",0,1983,256.81351988,1209552.86713978
"standard",0,1984,292.81506883,2577510.22472235
"standard",0,1985,304.612562,1601834.8552561
"standard",0,1986,315.09540854,283151.82983561
"standard",0,1987,338.55881356,662295.32388438
"standard",0,1988,384.18891474,336413.3619627
"standard",0,1989,432.99299737,311710.33308286
"standard",0,1990,381.35984846,2592731.39775437
"standard",0,1991,340.82987062,1626822.38056987
"standard",0,1992,265.29374649,210762.64989534
"standard",0,1993,237.26699077,174181.83451753
"standard",0,1994,300.04267172,139881.46048668
"standard",0,1995,273.9069922,137588.52995888
"standard",0,1996,289.1642899,204719.04025755
"standard",0,1997,271.9049468,221973.79682672
"standard",0,1998,189.52340713,316039.87293182
"standard",0,1999,164.82178541,145005.70997858
"standard",0,2000,136.74170912,91360.67008422
"standard",0,2001,113.25085865,813861.07467866
"standard",0,2002,96.87523188,621691.04328269
"standard",0,2003,94.10094794,603336.33079796
"standard",0,2004,90.25516753,892569.3149466
"standard",0,2005,105.05461403,203650.45837439
"standard",0,2006,129.20576043,150902.08857066
"standard",0,2007,144.65066153,591636.10003655
"standard",0,2008,162.19587383,620389.7681848
"standard",0,2009,182.3896262,154230.8959605
"standard",0,2010,172.44991937,157727.77577165
"standard",0,2011,160.08450083,162915.08291019
"standard",0,2012,139.04445401,313273.87687495
"standard",0,2013,126.83697072,325740.90746092
"standard",0,2014,104.88731029,3098597.81197286
"standard",0,2015,90.75253033,662088.6125606
"standard",0,2016,82.74742276,254633.7334165
"standard",0,2017,107.49926376,139883.63478044
"standard",0,2018,132.81352643,124096.56676977
"standard",0,2019,143.85524037,81677.2568242
"standard",0,2020,92.00063356,938926.28579951
"standard",0,2021,76.53957635,1194315.93910094
"standard",0,2022,68.11478498,2188755.42155748
"standard",0,2023,60.20252147,507439.44533905
"standard",0,2024,75.29331052,330482.70685159
"standard",0,2025,115.90186501,363549.82258174
"standard",1,1982,203.45210302,862936.06835218
"standard",1,1983,252.15975104,1202951.84027892
"standard",1,1984,288.22398793,2547469.16868443
"standard",1,1985,300.05481333,1622735.2604857
"standard",1,1986,310.84896414,286724.06283779
"standard",1,1987,334.58874819,652844.19830119
"standard",1,1988,380.61815171,339863.58495881
"standard",1,1989,430.04047285,319185.50353817
"standard",1,1990,378.78524071,2551263.88678242
"standard",1,1991,338.86670289,1639914.50320015
"standard",1,1992,263.77103835,214398.05756992
"standard",1,1993,235.88748749,175320.52039027
"standard",1,1994,298.45504296,138208.42043101
"standard",1,1995,272.52292303,136283.44058082
"standard",1,1996,287.73672235,207568.58537107
"standard",1,1997,270.66482197,220135.6623029
"standard",1,1998,188.49717581,312734.11458217
"standard",1,1999,164.05968509,146517.92198605
"standard",1,2000,136.20772089,93221.56019197
"standard",1,2001,112.86295377,792280.22187067
"standard",1,2002,96.61149258,636371.66950801
"standard",1,2003,93.84689963,590805.88086591
"standard",1,2004,89.93336054,886216.47439281
"standard",1,2005,104.56035698,204493.1413663
"standard",1,2006,128.35352782,152148.03458641
"standard",1,2007,143.5258052,585294.82082467
"standard",1,2008,161.06194838,622319.62981192
"standard",1,2009,181.14324843,154448.34628858
"standard",1,2010,171.18619182,157526.91818128
"standard",1,2011,158.81995087,159078.99382824
"standard",1,2012,137.98461469,310791.90680792
"standard",1,2013,125.99807274,359349.3781688
"standard",1,2014,104.25310125,2865922.21040674
"standard",1,2015,90.21294981,812563.96379769
"standard",1,2016,82.22392178,324064.02827493
"standard",1,2017,105.97574201,162035.6879611
"standard",1,2018,128.21634187,166729.2545502
"standard",1,2019,115.04910566,470377.72418647
"standard",1,2020,72.5381248,719138.22971928
"standard",1,2021,64.80323292,1103588.66645801
"standard",1,2022,65.54585864,2104266.4692167
"standard",1,2023,63.98684696,575763.42769259
"standard",1,2024,86.0154188,411817.62057773
"standard",2,1982,203.01794848,871687.89634494
"standard",2,1983,251.76864306,1202186.59395798
"standard",2,1984,286.62619931,2541067.35418933
"standard",2,1985,297.85127353,1649454.70779108
"standard",2,1986,309.04598986,285407.82280158
"standard",2,1987,333.28488452,653560.04464352
"standard",2,1988,379.28366591,346434.44433269
"standard",2,1989,428.51776276,320622.7844502
"standard",2,1990,377.04514371,2494807.66035666
"standard",2,1991,337.3998538,1681468.1661926
"standard",2,1992,262.41732446,213411.457667
"standard",2,1993,234.5439903,174206.07704694
"standard",2,1994,296.19554776,139090.87555481
"standard",2,1995,270.02022319,137457.16409084
"standard",2,1996,284.89358955,206037.15639916
"standard",2,1997,268.14568791,216976.84448556
"standard",2,1998,186.38862505,306575.75243809
"standard",2,1999,162.197557,147151.59991804
"standard",2,2000,134.66861014,92475.84639786
"standard",2,2001,111.49376476,785636.95279803
"standard",2,2002,95.23958473,636557.02890063
"standard",2,2003,92.25104272,570063.67341365
"standard",2,2004,88.14601179,890402.02013417
"standard",2,2005,102.51699275,209048.35577814
"standard",2,2006,126.01471606,154332.12541786
"standard",2,2007,140.84065225,583433.41599096
"standard",2,2008,157.95348403,632084.53164082
"standard",2,2009,177.66983558,156418.42259818
"standard",2,2010,168.07031544,158455.54659916
"standard",2,2011,156.35230469,164118.24347169
"standard",2,2012,136.2403098,411668.65622525
"standard",2,2013,124.87006663,542617.03330021
"standard",2,2014,103.68653734,2733621.80390858
"standard",2,2015,91.01362363,1469645.35165832
"standard",2,2016,85.3580643,648639.15017956
"standard",2,2017,115.82848394,197703.78465488
"standard",2,2018,102.94640358,171568.92468931
"standard",2,2019,68.57621488,241522.09564718
"standard",2,2020,47.91905339,543135.75526934
"standard",2,2021,52.8030255,667339.68377232
"standard",2,2022,61.91099052,1563195.27119504
"standard",2,2023,60.24537832,657007.29147917
"standard",3,1982,203.09298949,847461.10394478
"standard",3,1983,251.81254899,1204597.14208994
"standard",3,1984,286.584539,2537881.09188011
"standard",3,1985,297.70457442,1648873.08995668
"standard",3,1986,308.77664019,282754.57644328
"standard",3,1987,332.93294609,655419.7942928
"standard",3,1988,378.7686717,344849.0285078
"standard",3,1989,427.85134309,319338.38573967
"standard",3,1990,376.37445908,2483420.47065143
"standard",3,1991,336.70456702,1690617.30491389
"standard",3,1992,261.73607274,211459.68733832
"standard",3,1993,233.85542284,173902.84162871
"standard",3,1994,295.32109461,139248.847247
"standard",3,1995,269.22348947,138302.71657077
"standard",3,1996,284.17320458,203090.60099861
"standard",3,1997,267.59746374,216229.28132903
"standard",3,1998,185.91130634,306475.62235412
"standard",3,1999,161.78186143,144871.07125319
"standard",3,2000,134.33251499,91009.45824949
"standard",3,2001,111.16345294,789778.58266867
"standard",3,2002,94.87139908,634249.52714078
"standard",3,2003,91.83169611,569374.07740577
"standard",3,2004,87.72007494,892449.38598001
"standard",3,2005,102.03003824,206897.66881072
"standard",3,2006,125.62995239,153024.52606751
"standard",3,2007,140.61986981,581219.92303408
"standard",3,2008,157.78362148,634902.25518758
"standard",3,2009,177.51501477,155448.86537301
"standard",3,2010,167.92183351,158848.23004923
"standard",3,2011,156.12172889,163677.86233907
"standard",3,2012,135.96075977,420050.14707518
"standard",3,2013,124.64195312,574351.72363629
"standard",3,2014,103.53275149,2792716.30806788
