"","42.5","52.5","57.5","62.5","67.5","72.5","77.5","82.5","87.5","92.5","97.5","102.5","107.5","112.5","117.5","122.5","127.5","132.5","NA"
"1990",0,0,0,0,0,0,0,0,0.000723327305605787,0.00216998191681736,0.00976491862567812,0.0314647377938517,0.0741410488245931,0.149005424954792,0.2,0.241591320072333,0.148643761301989,0.14249547920434,0
"1991",0,0,5.45327632841811e-06,5.45327632841811e-06,1.63598289852543e-05,0.000239944158450397,0.000572594014483902,0.00188683360963267,0.00432444812843556,0.0147292993630573,0.0439915801413489,0.119050475525696,0.18643115783963,0.225067620626472,0.196781476310968,0.128675508245354,0.0564523165517843,0.0215622546025652,0.000207224500479888
"1992",0,7.98110075341591e-06,7.98110075341591e-06,4.38960541437875e-05,2.39433022602477e-05,0.000159622015068318,0.000706327416677308,0.00249808453581918,0.0065205593155408,0.0168600753415911,0.0456040097050185,0.119333418465075,0.189567105095135,0.240821734133572,0.206187747414123,0.119161824798876,0.0408951602605031,0.01160052994509,0
"1993",0,0,1.15547492908273e-05,1.15547492908273e-05,8.66606196812045e-05,0.000392861475888127,0.0012305807994731,0.00358197228015645,0.00714083506173125,0.0200474900195853,0.0609455251344684,0.150685485501678,0.211665674884019,0.220741930451964,0.174372721547874,0.100318333342962,0.0375356030712524,0.0112312163106841,0
"1994",1.92165415990084e-05,2.88248123985126e-05,9.60827079950421e-06,1.92165415990084e-05,8.64744371955379e-05,0.000874352642754883,0.00304582184344284,0.00754249257761081,0.0130576400165262,0.0358772831653487,0.0965150801810198,0.177272596250853,0.202455874016353,0.185968081324404,0.141452962710301,0.0875313469834834,0.0362327891849304,0.0120103384993803,0
"1995",0,0,1.02920895000103e-05,4.11683580000412e-05,0.000164673432000165,0.000566064922500566,0.00218192297400218,0.00700891294950701,0.0177950227455178,0.0418682200860419,0.106646631399107,0.194232313044194,0.212531648175213,0.187573331137688,0.129052510240629,0.0694716041250695,0.0237541425660238,0.0071015417550071,0
"1996",0,0,0,0,3.9151815078147e-05,0.000101794719203182,0.000501143233000282,0.00166786732232906,0.00542644156983118,0.021995489710903,0.0955304287906787,0.253782065336549,0.262403295016757,0.188531650327309,0.104707614244996,0.0464653741347449,0.0149951451749303,0.00385253860368967,0
"1997",0,0,0,5.5229700323646e-06,2.20918801294584e-05,0.000127028310744386,0.00034794711203897,0.0006240956136572,0.00185571793087451,0.00738421093327148,0.0425931448895958,0.159243794943169,0.245368989627862,0.244010338999901,0.16949995029327,0.0858048624228165,0.0329445162430549,0.0101677878295832,0
"1998",0,0,0,1.97748305956179e-05,2.63664407941572e-05,9.22825427795502e-05,0.000210931526353258,0.000665752630052469,0.00188520051678224,0.00905028080259446,0.0468663485116144,0.161856988425132,0.247257890157408,0.249070582962006,0.173946001529254,0.0796727924697445,0.0239473198512933,0.00543148680359638,0
